Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Winner,HREMONTADA,AREMONTADA,Referee
E0,03/12/2023,14:00,West Ham,Crystal Palace,1,1,D,1,0,H,Draw,0,0,M Oliver
E0,03/12/2023,16:30,Man City,Tottenham,3,3,D,2,1,H,Draw,0,0,S Hooper
E0,05/12/2023,19:30,Wolves,Burnley,1,0,H,1,0,H,Wolves,0,0,J Gillett
E0,05/12/2023,20:15,Luton,Arsenal,3,4,A,1,2,A,Arsenal,0,0,S Barrott
E0,06/12/2023,19:30,Brighton,Brentford,2,1,H,1,1,D,Brighton,0,0,P Bankes
E0,06/12/2023,19:30,Crystal Palace,Bournemouth,0,2,A,0,1,A,Bournemouth,0,0,C Pawson
E0,06/12/2023,19:30,Fulham,Nott'm Forest,5,0,H,2,0,H,Fulham,0,0,J Smith
E0,06/12/2023,19:30,Sheffield United,Liverpool,0,2,A,0,1,A,Liverpool,0,0,S Hooper
E0,06/12/2023,20:15,Aston Villa,Man City,1,0,H,0,0,D,Aston Villa,0,0,J Brooks
E0,06/12/2023,20:15,Man United,Chelsea,2,1,H,1,1,D,Man United,0,0,C Kavanagh
E0,07/12/2023,19:30,Everton,Newcastle,3,0,H,0,0,D,Everton,0,0,T Robinson
E0,07/12/2023,20:15,Tottenham,West Ham,1,2,A,1,0,H,West Ham,0,1,M Salisbury
E0,09/12/2023,12:30,Crystal Palace,Liverpool,1,2,A,0,0,D,Liverpool,0,0,A Madley
E0,09/12/2023,15:00,Brighton,Burnley,1,1,D,0,1,A,Draw,0,0,S Hooper
E0,09/12/2023,15:00,Man United,Bournemouth,0,3,A,0,1,A,Bournemouth,0,0,P Bankes
E0,09/12/2023,15:00,Sheffield United,Brentford,1,0,H,1,0,H,Sheffield United,0,0,S Attwell
E0,09/12/2023,15:00,Wolves,Nott'm Forest,1,1,D,1,1,D,Draw,0,0,S Barrott
E0,09/12/2023,17:30,Aston Villa,Arsenal,1,0,H,1,0,H,Aston Villa,0,0,J Gillett
E0,10/12/2023,14:00,Everton,Chelsea,2,0,H,0,0,D,Everton,0,0,M Oliver
E0,10/12/2023,14:00,Fulham,West Ham,5,0,H,3,0,H,Fulham,0,0,P Tierney
E0,10/12/2023,14:00,Luton,Man City,1,2,A,1,0,H,Man City,0,1,T Robinson
E0,10/12/2023,16:30,Tottenham,Newcastle,4,1,H,2,0,H,Tottenham,0,0,C Kavanagh
E0,15/12/2023,20:00,Nott'm Forest,Tottenham,0,2,A,0,1,A,Tottenham,0,0,J Gillett
E0,16/12/2023,15:00,Chelsea,Sheffield United,2,0,H,0,0,D,Chelsea,0,0,A Madley
E0,16/12/2023,15:00,Man City,Crystal Palace,2,2,D,1,0,H,Draw,0,0,P Tierney
E0,16/12/2023,15:00,Newcastle,Fulham,3,0,H,0,0,D,Newcastle,0,0,S Barrott
E0,16/12/2023,17:30,Burnley,Everton,0,2,A,0,2,A,Everton,0,0,A Taylor
E0,17/12/2023,14:00,Arsenal,Brighton,2,0,H,0,0,D,Arsenal,0,0,T Robinson
